facility_id,name,state,city,postcode,latitude,longitude,specialties,description,capability,procedure,equipment,numberDoctors,capacity,yearEstablished,source_urls
F001,Jaipur Kidney & Dialysis Centre,Rajasthan,Jaipur,302001,26.9124,75.7873,Dialysis;Nephrology,Dedicated dialysis center offering hemodialysis and renal care services for chronic kidney patients.,"Hemodialysis units, renal care ward","Hemodialysis, peritoneal dialysis","Dialysis machines, water treatment plant",8,30,2010,http://example.com/f001
F002,Sawai Man Singh Multispecialty Hospital,Rajasthan,Jaipur,302004,26.9056,75.8197,Emergency Surgery;Cardiology;Orthopedics;Dialysis,Large multispecialty hospital with 24x7 emergency department cardiac care unit and trauma center.,"Emergency department, ICU, cath lab","Emergency surgery, angioplasty, joint replacement","CT scanner, MRI, cath lab",45,250,1985,http://example.com/f002
F003,Jaipur City Care Clinic,Rajasthan,Jaipur,302015,26.8850,75.8200,Maternity;Gynecology,Small clinic focused on maternal health and gynecological care.,"Labour room, OPD","Normal delivery, antenatal checkups",,,,2005,
F004,Pink City Renal Institute,Rajasthan,Jaipur,302020,26.9300,75.7600,Dialysis,Renal institute offering general consultations and outpatient services.,General OPD,Consultation,,0,,,
F005,Patna Medical College and Hospital,Bihar,Patna,800004,25.6128,85.1418,Emergency Surgery;Cardiology;Neurology;Dialysis;Oncology,Major government teaching hospital providing comprehensive emergency trauma cardiac neuro and dialysis services.,"Emergency department, ICU, dialysis unit, cath lab, neuro ICU","Emergency surgery, hemodialysis, angioplasty, neurosurgery, chemotherapy","CT scanner, MRI, dialysis machines, cath lab",120,600,1925,http://example.com/f005
F006,Patna Dialysis & Diagnostic Centre,Bihar,Patna,800001,25.5941,85.1376,Dialysis,Standalone dialysis facility offering hemodialysis sessions.,Dialysis unit,Hemodialysis,Dialysis machines,4,12,2015,http://example.com/f006
F007,Patna Heart Institute,Bihar,Patna,800020,25.6200,85.1000,Cardiology;Emergency Surgery,Specialized cardiac hospital with emergency cardiac care.,"Cath lab, cardiac ICU, emergency department","Angioplasty, bypass surgery, emergency cardiac surgery","Cath lab, cardiac monitors",25,100,2008,
F008,Rural Health Centre Phulwari,Bihar,Patna,801505,25.5500,85.0200,Maternity;General Medicine,Primary health center serving rural population around Patna.,"OPD, labour room","Normal delivery, basic care",,,18,1998,http://example.com/f008
F009,Jodhpur Renal Care Hospital,Rajasthan,Jodhpur,342001,26.2389,73.0243,Dialysis;Nephrology;Urology,Dedicated renal care hospital with hemodialysis and kidney transplant program.,"Dialysis unit, transplant ward, ICU","Hemodialysis, kidney transplant","Dialysis machines, transplant OT",15,60,2012,http://example.com/f009
F010,Jodhpur General Hospital,Rajasthan,Jodhpur,342003,26.2900,73.0150,Emergency Surgery;Orthopedics;General Surgery,General hospital with emergency and trauma care and an orthopedic department.,"Emergency department, OT, orthopedic ward","Emergency surgery, fracture fixation, joint replacement","X-ray, OT equipment",30,150,1978,http://example.com/f010
F011,Delhi Apex Heart & Kidney Institute,Delhi,Delhi,110001,28.7041,77.1025,Cardiology;Dialysis;Nephrology;Emergency Surgery,Apex referral hospital for cardiac and renal care with 24x7 emergency.,"Cath lab, dialysis unit, ICU, emergency department","Angioplasty, hemodialysis, kidney transplant, emergency surgery","Cath lab, dialysis machines, CT, MRI",80,400,1995,http://example.com/f011
F012,Delhi Maternity Home,Delhi,Delhi,110005,28.6500,77.2300,Maternity,Maternity-focused private hospital.,"Labour room, NICU","Normal and C-section delivery",Incubators,10,40,2001,http://example.com/f012
F013,Ajmer Civil Hospital,Rajasthan,Ajmer,305001,26.4499,74.6399,Emergency Surgery;General Medicine;Dialysis,District civil hospital providing general and emergency services with a dialysis unit.,"Emergency ward, dialysis unit","Emergency care, hemodialysis",Dialysis machines,12,80,1965,http://example.com/f013
F014,Jaipur Cancer Care Hospital,Rajasthan,Jaipur,302017,26.8400,75.7500,Oncology,Cancer hospital offering chemotherapy and radiotherapy services.,"Chemotherapy ward, radiotherapy unit","Chemotherapy, radiotherapy, surgical oncology","Linear accelerator, CT simulator",20,90,2016,http://example.com/f014
F015,Jaipur Neuro & Trauma Centre,Rajasthan,Jaipur,302006,26.9500,75.8000,Neurology;Emergency Surgery;ICU,Specialized neuro and trauma center with 24/7 emergency surgery and ICU.,"Neuro ICU, trauma OT, emergency department","Neurosurgery, emergency trauma surgery","CT, MRI, neuro-monitoring",,70,2018,http://example.com/f015
